Feature,Importance
MedInc,0.5355863420724553
AveOccup,0.13801595193034252
Latitude,0.08831433699664015
Longitude,0.0878399328864487
HouseAge,0.05333150189394008
AveRooms,0.04227852422881402
Population,0.028045919163380176
AveBedrms,0.02658749082797917
